-182646.67,-114313.33,148566.67
-175820,-124553.33,138326.67
-172406.67,-129673.33,131500
-177526.67,-122846.67,134913.33
-184353.33,-114313.33,143446.67
-186060,-109193.33,150273.33
-182646.67,-114313.33,145153.33
-175820,-122846.67,136620
-172406.67,-126260,129793.33
-179233.33,-122846.67,134913.33
-184353.33,-114313.33,143446.67
-186060,-109193.33,150273.33
-182646.67,-116020,145153.33
-175820,-124553.33,136620
-172406.67,-126260,131500
-177526.67,-121140,134913.33
-184353.33,-110900,145153.33
-184353.33,-109193.33,150273.33
-179233.33,-116020,145153.33
-175820,-124553.33,136620
-175820,-126260,131500
-179233.33,-121140,136620
-184353.33,-110900,145153.33
-184353.33,-109193.33,150273.33
-179233.33,-116020,145153.33
-175820,-124553.33,136620
-175820,-126260,131500
-179233.33,-121140,136620
-184353.33,-114313.33,148566.67
-184353.33,-110900,150273.33
-179233.33,-116020,141740
-172406.67,-124553.33,134913.33
-172406.67,-124553.33,131500
-179233.33,-117726.67,136620
-184353.33,-110900,145153.33
-184353.33,-110900,150273.33
-179233.33,-117726.67,143446.67
-172406.67,-124553.33,134913.33
-172406.67,-124553.33,131500
-179233.33,-117726.67,138326.67
-184353.33,-110900,148566.67
-184353.33,-110900,150273.33
-177526.67,-121140,141740
-172406.67,-126260,131500
-175820,-124553.33,131500
-179233.33,-117726.67,138326.67
-186060,-110900,148566.67
-184353.33,-110900,148566.67
-177526.67,-117726.67,141740
-175820,-126260,131500
-175820,-124553.33,131500
-182646.67,-116020,141740
-186060,-110900,148566.67
-184353.33,-110900,148566.67
-177526.67,-121140,138326.67
-175820,-126260,131500
-175820,-122846.67,131500
-182646.67,-114313.33,138326.67
-186060,-109193.33,148566.67
-184353.33,-114313.33,148566.67
-177526.67,-122846.67,141740
-175820,-126260,131500
-177526.67,-124553.33,131500
-182646.67,-114313.33,141740
-184353.33,-109193.33,150273.33
-182646.67,-114313.33,148566.67
-177526.67,-122846.67,138326.67
-172406.67,-129673.33,131500
-177526.67,-124553.33,131500
-182646.67,-116020,141740
-184353.33,-109193.33,150273.33
-182646.67,-110900,145153.33
-175820,-122846.67,136620
-172406.67,-126260,129793.33
-177526.67,-122846.67,134913.33
-184353.33,-114313.33,143446.67
-186060,-109193.33,150273.33
-182646.67,-114313.33,148566.67
-175820,-122846.67,136620
-172406.67,-126260,129793.33
-177526.67,-121140,134913.33
-182646.67,-110900,143446.67
-184353.33,-109193.33,150273.33
-182646.67,-114313.33,148566.67
-175820,-122846.67,136620
-172406.67,-126260,131500
-177526.67,-122846.67,136620
-184353.33,-114313.33,143446.67
-184353.33,-109193.33,148566.67
-179233.33,-116020,145153.33
-175820,-124553.33,136620
-172406.67,-126260,131500
-177526.67,-121140,136620
-184353.33,-110900,143446.67
-186060,-109193.33,150273.33
-182646.67,-116020,145153.33
-175820,-124553.33,134913.33
-175820,-126260,131500
-179233.33,-121140,136620
-184353.33,-110900,145153.33
-186060,-110900,150273.33
-179233.33,-117726.67,143446.67
-175820,-124553.33,134913.33
-172406.67,-126260,131500
-177526.67,-121140,136620
-184353.33,-110900,145153.33
-184353.33,-110900,150273.33
-179233.33,-117726.67,143446.67
-175820,-124553.33,134913.33
-175820,-126260,131500
-179233.33,-121140,138326.67
-184353.33,-110900,148566.67
-184353.33,-109193.33,150273.33
-179233.33,-117726.67,143446.67
-175820,-126260,134913.33
-175820,-126260,131500
-179233.33,-121140,138326.67
-186060,-110900,148566.67
-184353.33,-110900,148566.67
-177526.67,-117726.67,141740
-172406.67,-124553.33,131500
-175820,-124553.33,131500
-182646.67,-117726.67,138326.67
-184353.33,-110900,148566.67
-184353.33,-110900,148566.67
-177526.67,-121140,141740
-172406.67,-126260,131500
-175820,-124553.33,131500
-179233.33,-117726.67,141740
-184353.33,-110900,148566.67
-182646.67,-110900,148566.67
-177526.67,-121140,141740
-175820,-126260,134913.33
-175820,-124553.33,134913.33
-182646.67,-116020,141740
-186060,-109193.33,148566.67
-184353.33,-114313.33,148566.67
-177526.67,-122846.67,138326.67
-172406.67,-126260,131500
-175820,-124553.33,131500
-182646.67,-116020,141740
-186060,-109193.33,148566.67
-184353.33,-114313.33,148566.67
-177526.67,-122846.67,138326.67
-175820,-126260,131500
-177526.67,-122846.67,134913.33
-182646.67,-114313.33,143446.67
-184353.33,-109193.33,150273.33
-182646.67,-114313.33,148566.67
-177526.67,-122846.67,138326.67
-175820,-126260,131500
-177526.67,-122846.67,134913.33
-184353.33,-114313.33,143446.67
-186060,-109193.33,150273.33
-182646.67,-114313.33,145153.33
-175820,-122846.67,136620
-175820,-126260,129793.33
-177526.67,-121140,134913.33
-184353.33,-114313.33,143446.67
-184353.33,-109193.33,150273.33
-179233.33,-114313.33,145153.33
-175820,-122846.67,136620
-175820,-126260,131500
-177526.67,-121140,134913.33
-184353.33,-114313.33,145153.33
-186060,-109193.33,150273.33
-182646.67,-116020,145153.33
-175820,-124553.33,136620
-172406.67,-124553.33,131500
-177526.67,-121140,136620
-182646.67,-110900,145153.33
-184353.33,-109193.33,150273.33
-182646.67,-117726.67,143446.67
-175820,-126260,136620
-172406.67,-126260,131500
-179233.33,-121140,136620
-184353.33,-110900,145153.33
-186060,-109193.33,148566.67
-179233.33,-116020,143446.67
-175820,-126260,134913.33
-175820,-129673.33,129793.33
-179233.33,-121140,136620
-184353.33,-110900,145153.33
-184353.33,-109193.33,150273.33
-179233.33,-116020,143446.67
-175820,-124553.33,134913.33
-175820,-126260,131500
-179233.33,-117726.67,138326.67
-184353.33,-110900,148566.67
-184353.33,-110900,150273.33
-179233.33,-117726.67,143446.67
-172406.67,-126260,134913.33
-175820,-124553.33,131500
-179233.33,-116020,138326.67
-184353.33,-109193.33,148566.67
-184353.33,-110900,150273.33
-179233.33,-121140,143446.67
-172406.67,-129673.33,131500
-175820,-126260,131500
-182646.67,-117726.67,138326.67
-184353.33,-109193.33,148566.67
-182646.67,-110900,148566.67
-177526.67,-117726.67,141740
-175820,-126260,134913.33
-177526.67,-126260,134913.33
-182646.67,-117726.67,141740
-184353.33,-109193.33,148566.67
-182646.67,-110900,148566.67
-177526.67,-121140,138326.67
-172406.67,-124553.33,131500
-175820,-124553.33,131500
-182646.67,-116020,141740
-186060,-110900,148566.67
-184353.33,-114313.33,148566.67
-177526.67,-122846.67,138326.67
-172406.67,-126260,131500
-175820,-124553.33,134913.33
-182646.67,-116020,141740
-184353.33,-109193.33,148566.67
-182646.67,-114313.33,148566.67
-177526.67,-122846.67,138326.67
-172406.67,-129673.33,131500
-177526.67,-124553.33,134913.33
-182646.67,-116020,143446.67
-184353.33,-109193.33,150273.33
-182646.67,-114313.33,148566.67
-175820,-122846.67,138326.67
-172406.67,-126260,131500
-177526.67,-122846.67,134913.33
-184353.33,-116020,143446.67
-186060,-110900,150273.33
-182646.67,-116020,145153.33
-175820,-122846.67,136620
-172406.67,-124553.33,131500
-177526.67,-121140,134913.33
-184353.33,-114313.33,143446.67
-186060,-109193.33,150273.33
-182646.67,-116020,145153.33
-175820,-124553.33,136620
-175820,-126260,131500
-177526.67,-121140,136620
-182646.67,-110900,145153.33
-184353.33,-109193.33,150273.33
-179233.33,-116020,145153.33
-175820,-124553.33,136620
-175820,-126260,131500
-179233.33,-121140,136620
-184353.33,-114313.33,145153.33
-184353.33,-109193.33,150273.33
-179233.33,-116020,145153.33
-175820,-122846.67,136620
-172406.67,-124553.33,131500
-177526.67,-121140,138326.67
-184353.33,-110900,145153.33
-184353.33,-109193.33,150273.33
-179233.33,-117726.67,143446.67
-172406.67,-124553.33,134913.33
-175820,-124553.33,131500
-179233.33,-117726.67,136620
-184353.33,-110900,145153.33
-184353.33,-109193.33,150273.33
-177526.67,-117726.67,143446.67
-172406.67,-126260,134913.33
-175820,-124553.33,131500
-179233.33,-117726.67,138326.67
-184353.33,-110900,148566.67
-184353.33,-110900,150273.33
-179233.33,-117726.67,143446.67
-175820,-126260,134913.33
-175820,-124553.33,131500
-179233.33,-116020,138326.67
-184353.33,-109193.33,148566.67
-184353.33,-110900,148566.67
-177526.67,-121140,141740
-172406.67,-126260,131500
-175820,-124553.33,131500
-179233.33,-116020,141740
-186060,-110900,148566.67
-184353.33,-114313.33,148566.67
-177526.67,-121140,141740
-172406.67,-126260,131500
-175820,-124553.33,131500
-182646.67,-116020,141740
-184353.33,-109193.33,150273.33
-184353.33,-110900,148566.67
-177526.67,-121140,138326.67
-172406.67,-126260,131500
-175820,-124553.33,134913.33
-182646.67,-116020,141740
-184353.33,-109193.33,148566.67
-182646.67,-110900,148566.67
-177526.67,-121140,138326.67
-172406.67,-126260,131500
-175820,-122846.67,131500
-182646.67,-114313.33,141740
-184353.33,-109193.33,148566.67
-182646.67,-114313.33,148566.67
-177526.67,-122846.67,138326.67
-175820,-126260,131500
-177526.67,-122846.67,134913.33
-182646.67,-114313.33,143446.67
-184353.33,-109193.33,150273.33
-182646.67,-114313.33,148566.67
-177526.67,-122846.67,138326.67
-172406.67,-126260,131500
-177526.67,-122846.67,134913.33
-182646.67,-114313.33,143446.67
-184353.33,-110900,150273.33
-182646.67,-116020,145153.33
-175820,-124553.33,136620
-172406.67,-126260,131500
-177526.67,-121140,134913.33
-182646.67,-114313.33,145153.33
-184353.33,-110900,150273.33
-179233.33,-116020,145153.33
-175820,-124553.33,136620
-172406.67,-126260,131500
-177526.67,-122846.67,136620
-184353.33,-114313.33,145153.33
-184353.33,-109193.33,148566.67
-179233.33,-116020,143446.67
-175820,-124553.33,136620
-172406.67,-126260,131500
-179233.33,-121140,136620
-184353.33,-110900,145153.33
-184353.33,-110900,148566.67
-179233.33,-116020,143446.67
-175820,-124553.33,134913.33
-175820,-126260,129793.33
-179233.33,-121140,136620
-184353.33,-110900,145153.33
-184353.33,-110900,150273.33
-179233.33,-117726.67,143446.67
-175820,-126260,134913.33
-172406.67,-126260,131500
-179233.33,-121140,138326.67
-184353.33,-110900,148566.67
-184353.33,-110900,150273.33
-179233.33,-117726.67,143446.67
-175820,-124553.33,134913.33
-175820,-124553.33,131500
-179233.33,-121140,138326.67
-184353.33,-110900,148566.67
-184353.33,-110900,150273.33
-177526.67,-117726.67,143446.67
-175820,-126260,134913.33
-175820,-126260,131500
-179233.33,-117726.67,138326.67
-186060,-110900,148566.67
-184353.33,-114313.33,148566.67
-179233.33,-121140,141740
-175820,-126260,131500
-175820,-124553.33,131500
-182646.67,-116020,138326.67
-184353.33,-110900,148566.67
-182646.67,-110900,148566.67
-177526.67,-121140,141740
-175820,-126260,131500
-175820,-124553.33,131500
-182646.67,-116020,141740
-184353.33,-110900,150273.33
-182646.67,-114313.33,148566.67
-177526.67,-121140,138326.67
-172406.67,-126260,131500
-175820,-122846.67,134913.33
-182646.67,-114313.33,143446.67
-184353.33,-109193.33,150273.33
-182646.67,-114313.33,148566.67
-177526.67,-122846.67,138326.67
-172406.67,-126260,131500
-175820,-122846.67,134913.33
-182646.67,-114313.33,143446.67
-184353.33,-109193.33,150273.33
-182646.67,-114313.33,148566.67
-175820,-122846.67,136620
-172406.67,-129673.33,131500
-177526.67,-124553.33,134913.33
-182646.67,-114313.33,143446.67
-184353.33,-109193.33,150273.33
-182646.67,-114313.33,145153.33
-175820,-122846.67,136620
-172406.67,-126260,131500
-177526.67,-122846.67,134913.33
-184353.33,-114313.33,143446.67
-186060,-110900,150273.33
-182646.67,-116020,145153.33
-175820,-124553.33,136620
-172406.67,-126260,131500
-177526.67,-122846.67,136620
-182646.67,-114313.33,143446.67
-184353.33,-110900,148566.67
-182646.67,-116020,145153.33
-177526.67,-124553.33,136620
-175820,-126260,131500
-177526.67,-121140,136620
-184353.33,-110900,145153.33
-186060,-109193.33,150273.33
-179233.33,-116020,145153.33
-175820,-124553.33,136620
-175820,-129673.33,131500
-179233.33,-121140,136620
-184353.33,-110900,145153.33
-184353.33,-109193.33,150273.33
-179233.33,-116020,143446.67
-175820,-124553.33,134913.33
-175820,-126260,131500
-179233.33,-121140,136620
-186060,-110900,145153.33
-184353.33,-110900,150273.33
-179233.33,-117726.67,143446.67
-172406.67,-124553.33,131500
-172406.67,-124553.33,131500
-179233.33,-117726.67,138326.67
-184353.33,-110900,145153.33
-184353.33,-110900,148566.67
-179233.33,-121140,141740
-175820,-126260,131500
-175820,-126260,131500
-179233.33,-117726.67,138326.67
-184353.33,-109193.33,148566.67
-182646.67,-109193.33,150273.33
-177526.67,-117726.67,143446.67
-175820,-126260,134913.33
-175820,-126260,131500
-182646.67,-117726.67,138326.67
-186060,-109193.33,148566.67
-184353.33,-110900,148566.67
-177526.67,-121140,141740
-172406.67,-124553.33,131500
-175820,-124553.33,131500
-182646.67,-116020,141740
-186060,-109193.33,150273.33
-184353.33,-110900,148566.67
-177526.67,-121140,138326.67
-172406.67,-126260,131500
-175820,-124553.33,134913.33
-182646.67,-116020,141740
-184353.33,-109193.33,148566.67
-184353.33,-110900,148566.67
-179233.33,-121140,138326.67
-175820,-126260,131500
-177526.67,-124553.33,131500
-184353.33,-116020,141740
-186060,-109193.33,148566.67
-182646.67,-110900,148566.67
-177526.67,-122846.67,138326.67
-172406.67,-126260,131500
-175820,-124553.33,131500
-182646.67,-116020,143446.67
-186060,-109193.33,150273.33
-184353.33,-114313.33,145153.33
-177526.67,-122846.67,136620
-175820,-126260,131500
-177526.67,-122846.67,134913.33
-182646.67,-116020,143446.67
-186060,-110900,148566.67
-182646.67,-114313.33,145153.33
-177526.67,-122846.67,136620
-175820,-126260,129793.33
-177526.67,-122846.67,134913.33
-184353.33,-114313.33,143446.67
-186060,-109193.33,150273.33
-182646.67,-116020,145153.33
-175820,-124553.33,136620
-172406.67,-126260,131500
-177526.67,-121140,134913.33
-184353.33,-114313.33,143446.67
-186060,-109193.33,150273.33
-182646.67,-116020,145153.33
-175820,-124553.33,136620
-172406.67,-126260,129793.33
-177526.67,-121140,134913.33
-184353.33,-114313.33,145153.33
-184353.33,-109193.33,150273.33
-179233.33,-116020,145153.33
-175820,-124553.33,136620
-172406.67,-126260,131500
-179233.33,-121140,136620
-184353.33,-110900,145153.33
-184353.33,-110900,148566.67
-179233.33,-117726.67,143446.67
-175820,-126260,136620
-175820,-126260,131500
-179233.33,-121140,136620
-184353.33,-110900,145153.33
-184353.33,-110900,150273.33
-179233.33,-117726.67,143446.67
-175820,-124553.33,134913.33
-175820,-126260,131500
-179233.33,-117726.67,138326.67
-184353.33,-110900,148566.67
-184353.33,-110900,150273.33
-179233.33,-117726.67,141740
-175820,-126260,134913.33
-175820,-126260,131500
-179233.33,-117726.67,138326.67
-184353.33,-109193.33,148566.67
-184353.33,-110900,150273.33
-177526.67,-121140,141740
-175820,-126260,131500
-175820,-124553.33,131500
-179233.33,-117726.67,138326.67
-184353.33,-110900,148566.67
-184353.33,-110900,148566.67
-179233.33,-121140,141740
-175820,-126260,131500
-177526.67,-124553.33,131500
-182646.67,-116020,141740
-184353.33,-109193.33,148566.67
-182646.67,-110900,148566.67
-177526.67,-121140,138326.67
-175820,-126260,131500
-177526.67,-124553.33,131500
-182646.67,-116020,141740
-186060,-109193.33,150273.33
-184353.33,-110900,148566.67
-177526.67,-121140,138326.67
-172406.67,-126260,131500
-175820,-124553.33,131500
-182646.67,-116020,141740
-184353.33,-110900,150273.33
-182646.67,-114313.33,148566.67
-177526.67,-122846.67,136620
-172406.67,-126260,131500
-175820,-122846.67,134913.33
-182646.67,-114313.33,141740
-184353.33,-109193.33,150273.33
-182646.67,-114313.33,148566.67
-175820,-122846.67,138326.67
-172406.67,-126260,131500
-177526.67,-122846.67,134913.33
-184353.33,-114313.33,143446.67
-186060,-109193.33,150273.33
-182646.67,-114313.33,148566.67
-175820,-122846.67,136620
-172406.67,-126260,131500
-177526.67,-122846.67,134913.33
-184353.33,-114313.33,143446.67
-186060,-109193.33,150273.33
-179233.33,-116020,145153.33
-175820,-124553.33,136620
-175820,-126260,131500
-179233.33,-122846.67,136620
-184353.33,-110900,145153.33
-186060,-109193.33,150273.33
-182646.67,-117726.67,145153.33
-175820,-124553.33,134913.33
-175820,-126260,129793.33
-179233.33,-121140,136620
-184353.33,-110900,145153.33
-186060,-109193.33,150273.33
-179233.33,-117726.67,143446.67
-175820,-124553.33,134913.33
-175820,-126260,131500
-179233.33,-121140,138326.67
-184353.33,-110900,145153.33
-184353.33,-110900,148566.67
-179233.33,-117726.67,143446.67
-175820,-124553.33,134913.33
-175820,-126260,131500
-179233.33,-121140,136620
-184353.33,-110900,145153.33
-184353.33,-109193.33,150273.33
-179233.33,-117726.67,143446.67
-175820,-124553.33,131500
-175820,-124553.33,129793.33
-179233.33,-117726.67,138326.67
-186060,-110900,148566.67
-184353.33,-110900,150273.33
-179233.33,-121140,143446.67
-175820,-126260,131500
-175820,-124553.33,131500
-182646.67,-116020,138326.67
-186060,-109193.33,148566.67
-184353.33,-109193.33,150273.33
-177526.67,-121140,141740
-172406.67,-126260,131500
-175820,-124553.33,131500
-182646.67,-117726.67,141740
-186060,-109193.33,148566.67
-184353.33,-109193.33,148566.67
-177526.67,-121140,138326.67
-172406.67,-126260,131500
-175820,-124553.33,131500
-182646.67,-117726.67,141740
-186060,-110900,150273.33
-184353.33,-114313.33,148566.67
-177526.67,-121140,138326.67
-175820,-126260,131500
-177526.67,-124553.33,131500
-182646.67,-114313.33,141740
-184353.33,-107486.67,148566.67
-182646.67,-114313.33,148566.67
-177526.67,-122846.67,138326.67
-175820,-126260,131500
-177526.67,-122846.67,134913.33
-182646.67,-116020,143446.67
-186060,-110900,150273.33
-184353.33,-114313.33,148566.67
-177526.67,-122846.67,138326.67
-172406.67,-126260,131500
-177526.67,-122846.67,134913.33
-184353.33,-114313.33,143446.67
-186060,-109193.33,150273.33
-182646.67,-114313.33,145153.33
-175820,-122846.67,136620
-172406.67,-126260,129793.33
-177526.67,-122846.67,134913.33
-182646.67,-114313.33,143446.67
-184353.33,-109193.33,150273.33
-182646.67,-114313.33,145153.33
-175820,-122846.67,136620
-172406.67,-126260,131500
-177526.67,-121140,136620
-184353.33,-114313.33,145153.33
-186060,-110900,150273.33
-182646.67,-116020,145153.33
-175820,-124553.33,136620
-172406.67,-129673.33,131500
-179233.33,-121140,136620
-184353.33,-110900,145153.33
-184353.33,-109193.33,150273.33
-179233.33,-116020,145153.33
-175820,-124553.33,134913.33
-172406.67,-126260,131500
-179233.33,-121140,136620
